Player,Pos,Team,G,REC,YDS,YDSG,AVG,LNG,20+,40+,TD
Julio Jones,WR,ATL,16,136,1871,116.9,13.8,70,25,5,8
Antonio Brown,WR,PIT,16,136,1834,114.6,13.5,59,25,8,10
DeAndre Hopkins,WR,HOU,16,111,1521,95.1,13.7,61,19,3,11
Brandon Marshall,WR,NYJ,16,109,1502,93.9,13.8,69,19,5,14
Odell Beckham,WR,NYG,15,96,1450,96.7,15.1,87,19,8,13
Allen Robinson,WR,JAC,16,80,1400,87.5,17.5,90,31,6,14
Demaryius Thomas,WR,DEN,16,105,1304,81.5,12.4,72,14,4,6
A.J. Green,WR,CIN,16,86,1297,81.1,15.1,80,19,5,10
Larry Fitzgerald,WR,ARI,16,109,1215,75.9,11.1,44,17,1,9
Calvin Johnson,WR,DET,16,88,1214,75.9,13.8,57,16,3,9
Mike Evans,WR,TB,15,74,1206,80.4,16.3,68,21,2,3
Rob Gronkowski,TE,NE,15,72,1176,78.4,16.3,76,22,5,11
Jarvis Landry,WR,MIA,16,110,1157,72.3,10.5,50,10,3,4
Brandin Cooks,WR,NO,16,84,1138,71.1,13.5,71,18,5,9
Emmanuel Sanders,WR,DEN,15,76,1135,75.7,14.9,75,12,6,6
T.Y. Hilton,WR,IND,16,69,1124,70.2,16.3,87,17,6,5
Greg Olsen,TE,CAR,16,77,1104,69,14.3,52,20,1,7
Jeremy Maclin,WR,KC,15,87,1088,72.5,12.5,61,14,3,8
Delanie Walker,TE,TEN,15,94,1088,72.5,11.6,61,13,2,6
Amari Cooper,WR,OAK,16,72,1070,66.9,14.9,68,16,6,6
Doug Baldwin,WR,SEA,16,78,1069,66.8,13.7,80,16,3,14
Sammy Watkins,WR,BUF,13,60,1047,80.5,17.5,63,18,7,9
Gary Barnidge,TE,CLE,16,79,1043,65.2,13.2,40,16,1,9
Allen Hurns,WR,JAC,15,64,1031,68.7,16.1,80,19,3,10
Eric Decker,WR,NYJ,15,80,1027,68.5,12.8,35,16,0,12
John Brown,WR,ARI,15,65,1003,66.9,15.4,68,11,6,7
Jordan Matthews,WR,PHI,16,85,997,62.3,11.7,78,14,3,8
Willie Snead,WR,NO,15,69,984,65.6,14.3,63,15,3,3
Travis Benjamin,WR,CLE,16,68,966,60.4,14.2,61,12,6,5
Jordan Reed,TE,WAS,14,87,952,68,10.9,32,14,0,11
Kamar Aiken,WR,BAL,16,75,944,59,12.6,48,11,2,5
Michael Crabtree,WR,OAK,16,85,922,57.6,10.8,38,15,0,9
James Jones,WR,GB,16,50,890,55.6,17.8,65,18,2,8
Travis Kelce,TE,KC,16,72,875,54.7,12.2,42,10,1,5
Zach Ertz,TE,PHI,15,75,853,56.9,11.4,60,11,2,2
Michael Floyd,WR,ARI,15,52,849,56.6,16.3,60,13,3,6
Terrance Williams,WR,DAL,16,52,840,52.5,16.2,42,13,1,3
Randall Cobb,WR,GB,16,79,829,51.8,10.5,53,11,1,6
Benjamin Watson,TE,NO,16,74,825,51.6,11.1,46,13,1,6
Marvin Jones,WR,CIN,16,65,816,51,12.6,47,13,4,4
Golden Tate,WR,DET,16,90,813,50.8,9,43,7,1,6
Alshon Jeffery,WR,CHI,9,54,807,89.7,14.9,50,14,3,4
Rueben Randle,WR,NYG,16,57,797,49.8,14,72,13,5,8
Anquan Boldin,WR,SF,14,69,789,56.4,11.4,51,10,1,4
Pierre Garcon,WR,WAS,16,72,777,48.6,10.8,39,7,0,6
Martavis Bryant,WR,PIT,11,50,765,69.5,15.3,88,10,5,6
Danny Woodhead,RB,SD,16,80,755,47.2,9.4,61,7,1,6
Markus Wheaton,WR,PIT,16,44,749,46.8,17,72,9,5,5
Ted Ginn,WR,CAR,15,44,739,49.3,16.8,74,10,5,10
Donte Moncrief,WR,IND,16,64,733,45.8,11.5,33,9,0,6
Keenan Allen,WR,SD,8,67,725,90.6,10.8,38,8,0,4
Stefon Diggs,WR,MIN,13,52,720,55.4,13.8,40,13,1,4
Jason Witten,TE,DAL,16,77,713,44.6,9.3,35,4,0,3
Theo Riddick,RB,DET,16,80,697,43.6,8.7,34,7,0,3
Julian Edelman,WR,NE,9,61,692,76.9,11.3,59,8,1,7
Jermaine Kearse,WR,SEA,16,49,685,42.8,14,50,13,1,5
Kenny Britt,WR,STL,16,36,681,42.6,18.9,60,11,5,3
Steve Smith,WR,BAL,7,46,670,95.7,14.6,50,13,2,3
Tyler Lockett,WR,SEA,16,51,664,41.5,13,49,9,2,6
Torrey Smith,WR,SF,16,33,663,41.4,20.1,76,8,5,4
Rishard Matthews,WR,MIA,11,43,662,60.2,15.4,53,10,4,4
